snapshot_ts,source,btc_price,ep_profPct,vu_profPct
1781596814,live,66332.5,67.1,55.7
1781596954,live,66384.4,67.1,55.7
1781597093,live,66319.5,67.1,55.7
1781598237,cloud,66387.2,66.7,54.4
1781598536,live,66506.0,67.5,55.3
1781606270,live,66604.0,62.7,56.6
1781612064,live,66514.8,61.9,52.9
1781641362,cloud,65772.9,62.5,49.1
1781671929,live,65940.7,64.3,50.1
1781690567,live,64883.4,60.3,45.9
1781699934,cloud,64762.1,63.6,46.5
1781706837,live,65160.3,64.1,49.7
1781707399,live,65138.4,64.4,48.7
1781708019,live,65172.2,62.3,47.4
1781728663,cloud,64405.2,70.0,40.1
1781752951,live,64444.1,66.7,41.6
1781758225,live,63810.1,65.7,39.0
1781765108,live,64063.8,66.7,41.8
1781769510,live,64435.1,68.6,44.1
1781783802,cloud,63879.6,70.8,39.8
1781792693,live,64073.5,71.8,37.7
1781792713,live,64029.5,71.8,37.7
1781815408,cloud,63087.7,75.0,45.4
1781830327,live,62976.6,72.0,41.8
1781832146,live,63053.6,69.2,39.3
1781872461,cloud,62414.1,72.2,35.2
1781878650,live,63028.3,74.0,43.3
1781896645,cloud,63005.0,71.6,40.0
1781913256,cloud,63281.3,72.4,40.2
1781923471,live,63343.3,67.1,36.5
1781950864,cloud,63588.9,64.4,43.6
1781956025,live,63706.0,65.7,41.0
1781971697,cloud,63959.9,65.3,41.9
1781972081,live,63958.8,65.3,41.8
1781992222,cloud,63993.3,64.4,41.7
1782006179,live,64203.4,61.6,43.4
1782006479,live,64287.1,65.8,44.8
1782032252,live,63956.1,65.6,40.5
1782038679,live,64312.2,64.4,42.5
1782039298,cloud,64292.5,64.4,42.8
1782051770,live,64004.6,70.7,40.3
1782061097,cloud,64064.9,73.2,40.1
1782079242,cloud,63667.8,75.9,40.3
1782109257,live,64111.4,64.3,40.7
1782137773,live,65227.3,70.0,46.0
1782144937,cloud,64612.8,64.8,39.6
1782169113,cloud,63886.1,62.9,37.9
1782183338,live,64204.4,68.3,32.5
1782195303,live,63122.3,67.5,28.4
1782204967,live,62372.2,67.5,29.9
1782211820,cloud,62206.5,64.7,30.5
1782221615,live,62335.6,67.4,28.4
1782238669,cloud,62247.0,68.7,29.6
1782255289,cloud,62479.4,69.2,32.9
1782271216,live,62436.9,68.6,32.3
1782294460,live,62647.6,70.7,30.9
1782297308,cloud,62489.8,69.2,31.6
1782306891,live,62006.9,69.5,30.6
1782308752,live,61507.6,67.6,28.4
1782309589,live,61324.3,66.7,26.5
1782309756,live,61194.8,66.7,26.5
1782315583,live,60632.9,67.0,26.6
1782324806,cloud,59443.9,68.5,27.4
1782341784,cloud,60794.2,73.0,39.4
1782355651,live,60753.3,70.5,35.4
1782362197,live,60826.8,71.7,33.9
1782380388,live,61716.2,72.4,38.5
1782383094,cloud,61493.3,74.4,40.0
1782393141,live,61316.3,73.9,37.9
1782395019,live,60286.8,72.7,34.5
1782395325,live,59449.0,72.7,34.5
1782395669,live,58839.2,73.4,31.1
1782397099,live,59000.4,73.7,31.4
1782412533,cloud,59335.7,69.7,35.0
1782431761,cloud,59719.9,67.4,37.9
1782437944,live,59274.9,69.8,30.2
1782442130,live,58622.4,75.3,26.8
1782448156,live,59955.0,71.2,34.3
1782471024,live,59436.9,69.5,29.9
1782472827,cloud,59347.2,69.5,29.2
1782485257,live,59640.2,63.9,33.3
1782488312,live,60386.1,64.4,35.3
1782490266,live,60189.0,67.2,33.8
1782497624,cloud,60008.0,66.7,32.3
1782514572,cloud,59935.7,68.1,32.7
1782551675,cloud,60261.4,62.7,29.9
1782569318,live,60541.3,65.2,35.0
1782572664,cloud,60477.8,66.7,34.0
1782590088,cloud,60107.8,67.9,30.6
1782603560,cloud,59939.3,67.5,30.5
1782630562,live,60081.2,65.4,31.0
1782641700,cloud,60174.2,66.2,34.6
1782659722,live,60031.6,65.4,36.0
1782662032,cloud,59869.3,64.6,34.1
1782679157,cloud,59602.7,64.1,31.2
1782702334,live,59918.8,69.5,31.0
1782714873,live,60104.2,67.9,35.3
1782728124,live,60207.2,69.7,33.9
1782737405,cloud,59850.2,69.1,33.1
1782745750,live,59187.1,66.3,32.8
1782747049,live,59517.4,68.8,31.0
1782761107,cloud,60311.5,65.2,41.2
1782776339,cloud,60183.9,63.6,40.3
1782788679,live,59940.1,64.6,39.0
1782792168,live,59560.1,65.3,35.9
1782793142,live,59464.6,65.0,35.2
1782793657,live,59507.4,64.0,36.3
1782806144,live,59491.9,67.6,35.1
1782807415,live,59400.0,67.6,35.7
1782811483,live,59296.8,66.0,33.5
1782819000,cloud,59122.7,67.0,33.0
1782828724,live,58942.1,71.1,33.8
1782831284,live,58494.6,67.7,32.8
1782832354,live,58365.1,69.1,31.1
1782832467,live,58438.2,69.1,31.1
1782832626,live,58248.6,68.4,31.1
1782833233,live,58396.1,68.4,31.4
1782843871,cloud,58435.7,63.5,30.5
1782863060,cloud,58491.0,66.7,29.4
1782876871,live,58865.0,65.0,33.1
1782878201,live,59200.1,68.4,37.5
1782880662,live,59208.1,67.3,38.9
1782893905,live,58673.3,68.3,31.2
1782896596,live,58900.0,64.7,30.8
1782899977,live,58930.4,63.5,33.8
1782906186,cloud,58594.4,63.6,30.8
1782915701,live,59974.4,63.2,37.4
1782933266,cloud,60216.2,64.6,33.6
1782951553,cloud,59755.8,60.0,30.6
1782959200,live,60160.8,61.8,36.8
1782959949,live,60360.2,62.5,36.8
1782965784,live,60870.0,66.3,39.9
1782972278,live,60418.3,63.8,37.9
1782980007,live,60262.8,65.9,36.8
1782985322,live,61000.0,65.9,36.8
1782990828,cloud,61233.4,65.6,36.9
1783000155,live,61899.7,64.8,36.9
1783001907,live,61908.8,64.8,36.9
1783003606,live,61478.1,63.0,42.9
1783004065,live,61536.2,63.0,42.9
1783016293,cloud,61688.0,64.4,43.0
1783032470,cloud,61440.1,69.0,41.1
1783043837,live,61614.3,66.7,46.1
1783053632,live,61482.1,63.5,44.4
1783058295,live,61678.9,65.1,47.9
1783059770,live,61680.0,64.4,49.0
1783060590,live,61698.5,64.0,48.5
1783061905,live,61700.9,64.4,48.1
1783072279,live,61726.7,62.4,47.7
1783073500,cloud,61620.8,64.8,47.4
1783090958,live,62179.9,64.3,51.3
1783095385,cloud,61921.4,62.9,49.7
1783098055,live,62087.9,63.5,50.0
1783111365,cloud,62578.7,65.7,51.2
1783137335,live,62605.0,67.4,48.6
1783138310,live,62670.8,67.0,48.4
1783150320,cloud,62490.7,65.3,48.3
1783153764,live,62545.7,65.0,48.2
1783167190,cloud,62513.0,66.0,47.6
1783171026,live,62612.5,64.0,48.6
1783175202,live,62648.7,64.6,47.4
1783179021,live,62867.4,64.3,49.0
1783183068,cloud,62860.4,62.6,48.6
1783197053,cloud,63120.0,61.1,46.1
1783220066,live,62610.3,67.3,45.7
1783239956,cloud,62888.0,68.8,44.3
1783243530,live,62735.5,67.3,44.7
1783254910,live,62656.5,70.5,43.8
1783263286,cloud,62678.0,69.6,44.2
1783263901,live,62890.1,69.1,43.5
1783277144,cloud,62702.3,66.7,45.4
1783290936,cloud,63514.9,65.3,48.1
1783304769,live,63578.8,62.8,47.0
1783342972,cloud,61603.4,64.1,40.6
1783347697,live,61757.7,62.2,42.3
1783365760,cloud,63759.2,63.4,44.5
1783381559,cloud,64036.6,64.4,43.1
1783385035,live,64056.5,65.6,45.2
1783394583,live,63323.3,64.9,40.5
1783405303,live,63092.6,68.5,40.2
1783417474,live,63271.0,69.2,40.5
1783418066,live,63242.6,68.5,41.0
