hour_ts,oc_mean_quantile,oc_mri,oc_mri_spread,oc_mri_ceiling,oc_mri_floor,oc_mri_fast,oc_mri_slow,oc_price,oc_realized,oc_true_mean,oc_sth_cost,oc_cointime,oc_vwap90,oc_vwap365,oc_powerlaw,oc_200wma,oc_200dma
1783058400,13.6,13.6,6.3,21.9,3.2,17.1,10.8,60716,53064,76546,68993,51802,71297,89361,142821,62497,75066
1783069200,13.6,13.6,6.3,21.9,3.2,17.1,10.8,60716,53064,76546,68993,51802,71297,89361,142821,62497,75066
1783090800,13.6,13.6,6.3,21.9,3.2,17.1,10.8,60716,53064,76546,68993,51802,71297,89361,142821,62497,75066
1783098000,13.6,13.6,6.3,21.9,3.2,17.1,10.8,60716,53064,76546,68993,51802,71297,89361,142821,62497,75066
1783134000,15.3,15.3,7.8,25.6,4.2,19.7,11.9,62181,53059,76519,68866,51860,71218,89232,142949,62528,74950
1783137600,15.3,15.3,7.8,25.6,4.2,19.7,11.9,62181,53059,76519,68866,51860,71218,89232,142949,62528,74950
1783152000,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783170000,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783173600,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783177200,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783216800,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783242000,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783252800,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783263600,15.7,15.7,8.1,26.2,4.4,20.2,12.0,62403,53062,76529,68861,51849,71159,89126,143076,62559,74824
1783303200,15.7,15.7,8.2,26.3,4.4,20.2,12.1,62450,53062,76542,68829,51825,71137,89074,143204,62590,74709
1783346400,16.5,16.5,8.9,28.1,4.8,21.5,12.6,63065,53065,76552,68885,51815,71099,89000,143332,62621,74604
1783382400,17.5,17.5,9.7,30.3,5.2,22.9,13.2,63774,53061,76547,68903,51815,71077,88982,143332,62622,74608
1783393200,17.5,17.5,9.7,30.3,5.2,22.9,13.2,63774,53061,76547,68903,51815,71077,88982,143332,62622,74608
1783404000,17.5,17.5,9.7,30.3,5.2,22.9,13.2,63774,53061,76547,68903,51815,71077,88982,143332,62622,74608
